N,Scale,ApproxArea,RelativeError
75600,4,0.958095,0.0143757
76100,4,0.93477,0.0103197
76600,4,0.929504,0.0158952
77100,4,0.951699,0.00760379
77600,4,0.94866,0.00438595
78100,4,0.934802,0.0102864
78600,4,0.931298,0.013996
79100,4,0.942402,0.00223941
79600,4,0.951759,0.00766699
80100,4,0.956205,0.0123741
80600,4,0.932605,0.0126114
81100,4,0.962367,0.0188988
81600,4,0.942941,0.00166859
82100,4,0.947917,0.00359971
82600,4,0.948378,0.00408731
83100,4,0.940939,0.00378877
83600,4,0.931292,0.0140022
84100,4,0.956766,0.0129681
84600,4,0.955839,0.0119871
85100,4,0.95812,0.0144017
85600,4,0.938131,0.00676149
86100,4,0.949036,0.00478426
86600,4,0.946513,0.00211274
87100,4,0.935752,0.00928006
87600,4,0.949954,0.00575654
88100,4,0.92622,0.0193718
88600,4,0.942844,0.00177121
89100,4,0.939169,0.00566185
89600,4,0.94,0.00478253
90100,4,0.953252,0.00924785
90600,4,0.940044,0.00473579
91100,4,0.929791,0.0155908
91600,4,0.957031,0.0132484
92100,4,0.940022,0.00475954
92600,4,0.938229,0.00665763
93100,4,0.949173,0.00492923
93600,4,0.948547,0.00426654
94100,4,0.940276,0.00449
94600,4,0.964567,0.0212272
95100,4,0.916593,0.0295644
95600,4,0.945105,0.000621923
96100,4,0.94102,0.00370286
96600,4,0.96265,0.0191981
97100,4,0.96,0.0163923
97600,4,0.936885,0.00808026
98100,4,0.920367,0.0255688
98600,4,0.939878,0.00491139
99100,4,0.94111,0.00360734
99600,4,0.948755,0.00448677
